road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66887646_road,66887646,G,Unspecified,Entrance,Lafayette Av & Bedford Av
66887647_road,66887647,Park Ave Tunnel - E 34th St./Grand Central,South Bound,,
66893145_road,66893145,R,Unspecified,Entrance,
66890362_road,66890362,6,6 Downtown,Platform,
66886260_road,66886260,C,Unspecified,Platform,
66891716_road,66891716,C,Unspecified,Platform,
66894522_road,66894522,Van Wyck Expwy,South/JFK Airport Bound,College Pt Blvd L I Expwy Eastern L I (Exit 12A),Ramp
66886345_road,66886345,Long Island Expwy,West/Manhattan Bound,Junction Blvd (Exit 20) - Queens Blvd (NY 25) / Woodhaven Blvd (Exit 19),Roadway
66887644_road,66887644,C,B C Uptown & The Bronx,Platform,
66884932_road,66884932,J,Unspecified,Mezzanine,
66890366_road,66890366,F,F platform,Platform,
66888977_road,66888977,4,4 5 platform,Platform,
66891713_road,66891713,E,C E Local Uptown - Queens,Platform,
66888963_road,66888963,R,Unspecified,Mezzanine,
66884931_road,66884931,C,B C Downtown & Brooklyn,Platform,
66894451_road,66894451,D,Unspecified,Mezzanine,
66888980_road,66888980,R,R to Manhattan,Platform,
66887645_road,66887645,1,Unspecified,Mezzanine,
66890353_road,66890353,1,Unspecified,Platform,
66891711_road,66891711,D,Unspecified,Mezzanine,
66891715_road,66891715,N,Unspecified,Mezzanine,
66886271_road,66886271,C,B C Uptown & The Bronx,Platform,
66888974_road,66888974,A,Unspecified,Stairway,
66891712_road,66891712,1,1 Downtown,Platform,
66891714_road,66891714,F,Unspecified,Platform,
66894449_road,66894449,F,Unspecified,Mezzanine,
66880735_road,66880735,1,Unspecified,Mezzanine,
66874958_road,66874958,F,Unspecified,Mezzanine,
66876408_road,66876408,J,Unspecified,Mezzanine,
66876411_road,66876411,1,Unspecified,Stairway,
66877833_road,66877833,F,Unspecified,Mezzanine,
66883601_road,66883601,1,Unspecified,Stairway,
66874968_road,66874968,F,F Downtown & Brooklyn,Platform,
66883600_road,66883600,G,Unspecified,Other,
66883591_road,66883591,C,B C Downtown & Brooklyn,Platform,
66874970_road,66874970,G,G to Church Av,Platform,
66879259_road,66879259,L,L to Brooklyn,Platform,
66880726_road,66880726,L,Unspecified,Platform,
66883763_road,66883763,Belt Pkwy,West/Staten Island Bound,Bay Pkwy (Exit 5) - 14th Ave Bay 8th St (Exit 4),Roadway
66877836_road,66877836,1,Unspecified,Other,
66879260_road,66879260,D,Unspecified,Entrance,
66877834_road,66877834,L,Unspecified,Platform,
66879348_road,66879348,Bronx River Pkwy,North/Westchester County Bound,Gun Hill Road (Exit 9) - E 233 St (Exit 10),Roadway
