taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66711851_taxi,66711851,Unspecified,"1454 2 AVENUE, MANHATTAN (NEW YORK), NY, 10021"
66714864_taxi,66714864,Unspecified,"569 3 STREET, BROOKLYN, NY, 11215"
66713269_taxi,66713269,Unspecified,"PENNSYLVANIA STATION, MANHATTAN (NEW YORK) ,NY, 10121"
66716153_taxi,66716153,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66717768_taxi,66717768,Unspecified,"829 6 AVENUE, MANHATTAN (NEW YORK), NY, 10001"
66707287_taxi,66707287,Unspecified,"120 WEST   41 STREET, MANHATTAN (NEW YORK), NY, 10036"
66716199_taxi,66716199,Unspecified,"1355 EAST   14 STREET, BROOKLYN, NY, 11230"
66713339_taxi,66713339,Unspecified,"EAST   27 STREET AND MADISON AVENUE, MANHATTAN, NY, 10016"
66711756_taxi,66711756,Unspecified,"200 EASTERN PARKWAY, BROOKLYN, NY, 11238"
66711880_taxi,66711880,Unspecified,"9 CLINTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66717655_taxi,66717655,Unspecified,"95 HENRY STREET, MANHATTAN (NEW YORK), NY, 10002"
66713252_taxi,66713252,MANHATTAN,"355 WEST   16 STREET, MANHATTAN (NEW YORK), NY, 10011"
66709300_taxi,66709300,Unspecified,"70 UNIVERSITY PLACE, MANHATTAN (NEW YORK), NY, 10003"
66716170_taxi,66716170,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66710232_taxi,66710232,Unspecified,"145 WEST   44 STREET, MANHATTAN (NEW YORK), NY, 10036"
66708794_taxi,66708794,Unspecified,"235 EAST   42 STREET, MANHATTAN (NEW YORK), NY, 10017"
66707312_taxi,66707312,Unspecified,"3211 PARKSIDE PLACE, BRONX, NY, 10467"
66716171_taxi,66716171,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66713337_taxi,66713337,Unspecified,"GREENWICH STREET AND WATTS STREET, MANHATTAN, NY, 10013"
66713207_taxi,66713207,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66711721_taxi,66711721,Unspecified,"1535 BROADWAY, MANHATTAN (NEW YORK), NY, 10036"
66710235_taxi,66710235,Unspecified,"ALLEN STREET AND EAST HOUSTON STREET, MANHATTAN, NY, 10002"
66711722_taxi,66711722,Unspecified,"525 EAST   68 STREET, MANHATTAN (NEW YORK), NY, 10065"
66710743_taxi,66710743,Unspecified,"400 WEST   43 STREET, MANHATTAN (NEW YORK), NY, 10036"
66716200_taxi,66716200,MANHATTAN,"707 9 AVENUE, MANHATTAN (NEW YORK), NY, 10019"
66714694_taxi,66714694,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66717820_taxi,66717820,Unspecified,"9 PRINCE STREET, MANHATTAN (NEW YORK), NY, 10012"
66713270_taxi,66713270,Unspecified,"AVENUE A AND EAST    7 STREET, MANHATTAN, NY, 10009"
66714886_taxi,66714886,Unspecified,"PENNSYLVANIA STATION, MANHATTAN (NEW YORK) ,NY, 10121"
66713208_taxi,66713208,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66711712_taxi,66711712,Unspecified,"301 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66707452_taxi,66707452,Unspecified,"662 PACIFIC STREET, BROOKLYN, NY, 11217"
66713190_taxi,66713190,Unspecified,"48 WEST   21 STREET, MANHATTAN (NEW YORK), NY, 10010"
66708733_taxi,66708733,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66708938_taxi,66708938,Unspecified,"41 EAST   42 STREET, MANHATTAN (NEW YORK), NY, 10017"
66716329_taxi,66716329,Unspecified,"1100 1 AVENUE, MANHATTAN (NEW YORK), NY, 10065"
66711881_taxi,66711881,Unspecified,"1265 1 AVENUE, MANHATTAN (NEW YORK), NY, 10065"
66711720_taxi,66711720,Unspecified,"27 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66717819_taxi,66717819,Unspecified,"999 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66716330_taxi,66716330,Unspecified,"997 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66707453_taxi,66707453,Unspecified,"997 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66710398_taxi,66710398,Unspecified,"994 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66708939_taxi,66708939,Unspecified,"128 EAST   86 STREET, MANHATTAN (NEW YORK), NY, 10028"
66714862_taxi,66714862,Unspecified,"577 1 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66707454_taxi,66707454,Unspecified,"102 EAST   20 STREET, MANHATTAN (NEW YORK), NY, 10003"
66710399_taxi,66710399,Unspecified,"14 IRVING PLACE, MANHATTAN (NEW YORK), NY, 10003"
66716305_taxi,66716305,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66710234_taxi,66710234,Unspecified,"9 GREAT JONES STREET, MANHATTAN (NEW YORK), NY, 10012"
